,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category,Type
173,A8 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-10-19 12:47:15.079429,A8,P5,2015,Professional,Analyze Cycle Time
174,A8 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.095067,A8,P5,2015,Professional,Analyze Cycle Time
175,A8 P5 BPI 2015,Group traces,Group traces depending on attributes,2021-10-19 12:47:15.095067,A8,P5,2015,Professional,Manipulation
176,A8 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-10-19 12:47:15.095067,A8,P5,2015,Professional,Analyze Cycle Time
177,A8 P5 BPI 2015,Group traces,Group traces by cycle time,2021-10-19 12:47:15.110652,A8,P5,2015,Professional,Manipulation
178,A8 P5 BPI 2015,Group traces,Group traces by organizational units,2021-10-19 12:47:15.110652,A8,P5,2015,Professional,Manipulation
179,A8 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.126311,A8,P5,2015,Professional,Analyze Cycle Time
180,A8 P5 BPI 2015,Analyze cycle time depending on the events, ,2021-10-19 12:47:15.126311,A8,P5,2015,Professional,Analyze Cycle Time
181,A8 P5 BPI 2015,Calculate number of elements,Calculate number of traces,2021-10-19 12:47:15.137859,A8,P5,2015,Professional,Calculate statistics
182,A8 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.137859,A8,P5,2015,Professional,Analyze Cycle Time
183,A8 P5 BPI 2015,Filter activities,Filter activities by frequency,2021-10-19 12:47:15.137859,A8,P5,2015,Professional,Manipulation
184,A8 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:15.153521,A8,P5,2015,Professional,Analyze Cycle Time
